source,station_code,station_name,lat,lon,height_m,start_time,duration_s,sampling_rate_hz,intensity,acc_NS,acc_EW,acc_UD,acc_H,acc_total,vel_NS,vel_EW,vel_UD,vel_H,vel_total,disp_NS,disp_EW,disp_UD,disp_H,disp_total
JMA,41347,静岡清水区千歳町,35.0168,138.4848,,2025-12-08T23:18:10.000,120.0,100,2,1.654,2.335,0.534,2.357,2.367,-0.327,-0.47,-0.207,0.537,0.552,-0.173,1.842,-1.217,1.846,2.211
JMA,42101,石狩市花川,43.1714,141.3157,,2025-12-08T23:15:40.000,420.0,100,4,27.139,27.849,-8.744,29.47,29.547,8.972,-5.272,2.135,8.983,9.025,-3.645,2.28,-1.202,3.742,3.743
JMA,42102,岩内町高台,42.98,140.515,,2025-12-08T23:15:40.000,300.0,100,3,10.015,-7.41,5.956,11.682,11.689,-2.332,1.529,-1.4,2.379,2.39,-1.389,1.057,0.902,1.397,1.401
JMA,42103,余市町朝日町,43.1952,140.7835,,2025-12-08T23:15:40.000,300.0,100,3,10.922,-11.54,7.659,12.583,12.852,2.127,1.741,-1.257,2.325,2.341,-0.892,-0.847,-0.524,1.064,1.094
JMA,42104,上富良野町大町,43.4557,142.467,,2025-12-08T23:15:40.000,300.0,100,3,13.719,18.888,-6.79,19.926,19.933,2.033,1.816,1.305,2.212,2.235,0.746,-0.895,0.865,0.91,1.023
JMA,42105,美幌町東３条,43.8161,144.1033,,2025-12-08T23:15:50.000,360.0,100,3,14.792,-16.734,-6.937,17.39,17.42,-2.144,-2.67,0.91,2.69,2.691,0.796,0.948,0.374,0.97,0.986
JMA,42106,斜里町本町,43.9114,144.6711,,2025-12-08T23:16:00.000,420.0,100,3,-10.128,9.179,-4.438,10.737,10.753,-2.172,-1.931,0.885,2.297,2.32,-0.994,0.95,-0.721,1.233,1.331
JMA,42107,北見市留辺蘂町温根湯温泉,43.7585,143.5093,,2025-12-08T23:15:40.000,240.0,100,2,-12.884,-14.892,4.552,15.332,15.465,1.094,0.86,-0.463,1.126,1.141,-0.463,-0.504,0.3,0.533,0.544
JMA,42108,十勝清水町南４条,43.0115,142.8845,,2025-12-08T23:15:30.000,420.0,100,4,50.769,-39.952,24.242,59.217,61.134,-5.036,4.821,2.785,5.339,5.826,-1.535,1.596,1.304,1.652,1.99
JMA,42109,本別町北２丁目,43.1246,143.6111,,2025-12-08T23:15:40.000,360.0,100,3,-27.705,-30.891,-54.491,39.677,55.288,2.325,-2.34,1.95,2.469,2.49,1.814,-1.807,-6.519,2.365,6.884
JMA,42110,弟子屈町美里,43.4809,144.4366,,2025-12-08T23:15:40.000,420.0,100,3,-13.508,-12.455,8.96,14.848,15.084,2.122,-1.691,-0.757,2.14,2.141,0.945,0.642,-0.298,0.993,0.999
JMA,42111,別海町常盤,43.3946,145.118,,2025-12-08T23:15:50.000,420.0,100,3,27.207,-34.973,13.096,37.135,37.144,-2.17,2.591,-1.07,2.856,2.856,-1.673,1.397,0.476,1.676,1.676
JMA,42112,白老町竹浦,42.4928,141.2548,,2025-12-08T23:15:30.000,300.0,100,5弱,120.353,110.91,-32.197,120.361,120.779,-8.897,10.663,-2.951,10.675,10.68,-2.766,2.427,-1.135,2.931,2.933
JMA,42113,新ひだか町静内山手町,42.3448,142.3622,,2025-12-08T23:15:20.000,420.0,100,5弱,109.075,-112.118,27.273,131.66,131.843,-10.826,10.933,-2.98,12.066,12.136,2.69,-2.698,1.609,2.86,2.986
JMA,42114,渡島松前町福山,41.43,140.1104,,2025-12-08T23:15:30.000,240.0,100,3,12.6,12.961,-7.101,13.466,13.981,-0.732,1.073,-0.914,1.118,1.221,-0.234,0.431,-0.706,0.445,0.761
JMA,42115,七飯町桜町,41.9033,140.688,,2025-12-08T23:15:20.000,300.0,100,4,54.241,67.949,-16.547,69.368,69.547,-4.034,-3.969,1.711,4.169,4.202,-0.825,0.713,0.717,1.014,1.032
JMA,42201,平内町小湊,40.9255,140.9527,,2025-12-08T23:15:10.000,300.0,100,5弱,-189.632,-189.605,102.438,190.992,194.975,-12.427,14.0,-3.565,14.964,14.996,-3.0,2.225,0.94,3.091,3.092
JMA,42202,鰺ヶ沢町舞戸町鳴戸,40.7821,140.2334,,2025-12-08T23:15:20.000,420.0,100,4,-49.174,-45.079,-22.454,57.652,58.113,7.776,-8.296,-5.081,9.106,9.11,-3.29,-3.7,-2.045,3.759,3.778
JMA,42203,六ヶ所村尾駮,40.9669,141.3739,,2025-12-08T23:15:10.000,420.0,100,5弱,-166.959,-130.308,74.665,175.935,177.814,-16.758,-11.048,5.588,16.883,16.917,-7.309,4.164,-2.204,8.07,8.172
JMA,42204,五戸町古舘,40.5313,141.3079,,2025-12-08T23:15:10.000,420.0,100,5強,407.451,-329.395,184.926,435.862,458.665,-35.213,-18.782,-12.519,36.238,36.311,-8.394,7.411,3.882,11.03,11.037
JMA,42206,八幡平市大更,39.9263,141.0951,,2025-12-08T23:15:20.000,300.0,100,4,-64.524,-111.876,35.643,116.581,116.944,7.467,-7.664,-3.303,8.969,9.028,2.141,2.019,0.833,2.551,2.574
JMA,42207,一関市大東町,39.0171,141.3956,,2025-12-08T23:15:30.000,300.0,100,3,-28.949,-42.331,12.167,43.48,44.266,1.135,-1.845,-0.771,2.164,2.172,-0.309,-0.7,0.219,0.724,0.732
JMA,42208,山田町八幡町,39.4676,141.9492,,2025-12-08T23:15:20.000,300.0,100,4,52.44,30.515,21.781,54.207,54.516,2.261,2.329,1.103,2.738,2.74,0.263,0.983,0.682,0.984,1.081
JMA,42209,岩手洋野町種市,40.4083,141.7185,,2025-12-08T23:15:10.000,360.0,100,4,98.117,-105.481,-73.159,105.487,106.242,-4.865,5.761,-2.299,7.468,7.525,-1.4,-2.076,0.897,2.197,2.359
JMA,42210,柴田町船岡,38.0547,140.7626,,2025-12-08T23:15:50.000,240.0,100,2,-8.5,8.56,-2.895,10.543,10.549,-0.618,-1.064,0.497,1.075,1.079,-0.229,0.445,0.205,0.465,0.505
JMA,42211,松島町高城,38.3853,141.0691,,2025-12-08T23:15:40.000,300.0,100,4,-28.579,35.53,8.747,35.556,35.606,3.308,-4.387,0.893,4.407,4.461,0.397,-0.795,-0.338,0.797,0.802
JMA,42212,涌谷町新町裏,38.5401,141.1272,,2025-12-08T23:15:40.000,300.0,100,4,-60.596,-51.747,-18.738,67.025,67.025,-6.675,6.904,1.61,7.973,7.974,1.52,1.203,-0.443,1.627,1.631
JMA,42213,登米市中田町,38.7103,141.2357,,2025-12-08T23:15:40.000,300.0,100,4,-41.697,43.69,22.383,46.858,48.286,-5.039,5.069,-2.036,6.139,6.139,-1.098,-1.312,0.574,1.333,1.371
